,precision,recall,f1-score,support
A,0.0,0.0,0.0,4264.0
B,0.0,0.0,0.0,2206.0
C,0.0,0.0,0.0,1199.0
class_3,0.0,0.0,0.0,0.0
class_4,0.0,0.0,0.0,0.0
class_5,0.0,0.0,0.0,0.0
class_6,0.0,0.0,0.0,0.0
class_7,0.0,0.0,0.0,0.0
class_8,0.0,0.0,0.0,0.0
class_9,0.0,0.0,0.0,0.0
class_10,0.0,0.0,0.0,0.0
class_11,0.0,0.0,0.0,0.0
class_12,0.0,0.0,0.0,0.0
class_13,0.0,0.0,0.0,0.0
class_14,0.0,0.0,0.0,0.0
class_15,0.0,0.0,0.0,0.0
class_16,0.0,0.0,0.0,0.0
class_17,0.0,0.0,0.0,0.0
class_18,0.0,0.0,0.0,0.0
class_19,0.0,0.0,0.0,0.0
class_20,0.0,0.0,0.0,0.0
class_21,0.0,0.0,0.0,0.0
class_22,0.0,0.0,0.0,0.0
class_23,0.0,0.0,0.0,0.0
class_24,0.0,0.0,0.0,0.0
class_25,0.0,0.0,0.0,0.0
class_26,0.0,0.0,0.0,0.0
class_27,0.0,0.0,0.0,0.0
class_28,0.0,0.0,0.0,0.0
class_29,0.0,0.0,0.0,0.0
class_30,0.0,0.0,0.0,0.0
class_31,0.0,0.0,0.0,0.0
class_32,0.0,0.0,0.0,0.0
class_33,0.0,0.0,0.0,0.0
class_34,0.0,0.0,0.0,0.0
accuracy,0.0,0.0,0.0,0.0
macro avg,0.0,0.0,0.0,7669.0
weighted avg,0.0,0.0,0.0,7669.0
